<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>
2020.04.02	09:03:53.394	5257.0			
2020.04.02	09:03:53.396		5258.5		
2020.04.02	09:03:53.405	5256.5			
2020.04.02	09:03:53.405		5258.0		
2020.04.02	09:03:53.405		5257.5		
2020.04.02	09:03:54.153	5257.0			
2020.04.02	09:03:54.153		5258.0		
2020.04.02	09:03:54.155		5258.5		
2020.04.02	09:03:55.223			5257.5	5.00000000
2020.04.02	09:03:55.291	5257.5			
2020.04.02	09:03:55.295	5257.0			
2020.04.02	09:03:57.195		5258.0		
2020.04.02	09:03:57.956	5257.5			
2020.04.02	09:03:58.153			5258.0	5.00000000
2020.04.02	09:03:58.331		5258.5		
2020.04.02	09:03:58.333	5257.0			
2020.04.02	09:03:58.333	5257.5			
2020.04.02	09:03:59.100	5258.0			
2020.04.02	09:03:59.102	5257.5			
2020.04.02	09:03:59.857	5257.0			
2020.04.02	09:03:59.857	5257.5			
2020.04.02	09:04:00.231	5257.5			
2020.04.02	09:04:01.367			5258.5	5.00000000
2020.04.02	09:04:01.368			5258.5	5.00000000
2020.04.02	09:04:01.377		5259.0		
2020.04.02	09:04:01.380		5258.5		
2020.04.02	09:04:07.210			5258.5	5.00000000
2020.04.02	09:04:07.210			5258.5	5.00000000
2020.04.02	09:04:08.356			5258.5	5.00000000
2020.04.02	09:04:08.972	5258.0			
2020.04.02	09:04:09.737	5257.5			
2020.04.02	09:04:09.737	5258.0			
2020.04.02	09:04:09.774			5258.0	5.00000000
2020.04.02	09:04:11.433			5258.0	5.00000000
2020.04.02	09:04:11.434			5258.0	5.00000000
2020.04.02	09:04:11.527			5258.0	5.00000000
2020.04.02	09:04:11.638	5257.5			
2020.04.02	09:04:11.638	5257.0			
2020.04.02	09:04:11.641	5257.5			
2020.04.02	09:04:12.243			5258.5	5.00000000
2020.04.02	09:04:12.397		5259.0		
2020.04.02	09:04:14.314		5258.5		
2020.04.02	09:04:19.248	5258.0			
2020.04.02	09:04:19.248	5257.5			
2020.04.02	09:04:22.505			5258.5	5.00000000
2020.04.02	09:04:22.505			5258.5	5.00000000
2020.04.02	09:04:22.505			5258.5	5.00000000
2020.04.02	09:04:22.507			5258.5	5.00000000
2020.04.02	09:04:22.657		5259.0		
2020.04.02	09:04:22.657	5258.5			
2020.04.02	09:04:22.659	5257.5			
2020.04.02	09:04:22.659		5258.5		
2020.04.02	09:04:22.659	5258.0			
2020.04.02	09:04:22.661	5257.5			
2020.04.02	09:04:23.805	5258.0			
2020.04.02	09:04:24.190		5259.0		
2020.04.02	09:04:24.190	5258.5			
2020.04.02	09:04:24.196	5258.0			
2020.04.02	09:04:24.196	5258.5			
2020.04.02	09:04:25.516			5259.0	5.00000000
2020.04.02	09:04:25.516			5259.0	5.00000000
2020.04.02	09:04:25.700	5258.0			
2020.04.02	09:04:25.814			5258.5	5.00000000
2020.04.02	09:04:26.080	5258.5			
2020.04.02	09:04:26.920			5259.0	45.00000000
2020.04.02	09:04:26.920			5259.0	5.00000000
